1,0,0.91,1
2,1,1.14,1
3,2,0.96,1
4,3,1.01,1
5,4,0.85,1
6,5,1.16,1
7,6,0.83,1
8,7,0.80,1
9,8,1.19,1
10,9,1.06,1
11,10,1.09,1
12,11,0.99,1
13,12,0.80,1
14,13,1.11,1
15,14,0.97,1
16,15,0.83,1
17,16,0.90,1
18,17,0.90,1
19,18,1.02,1
20,19,0.88,1
21,20,1.15,1
22,21,1.19,1
23,22,1.16,1
24,23,0.90,1
25,24,1.07,1
26,25,0.91,1
27,26,1.17,1
28,27,1.00,1
29,28,0.86,1
30,29,1.13,1
31,30,1.14,1
32,31,0.89,1
33,32,0.99,1
34,33,0.93,1
35,34,1.19,1
36,35,0.95,1
37,36,1.03,1
38,37,1.17,1
39,38,1.18,1
40,39,0.93,1
41,40,0.85,1
42,41,1.15,1
43,42,0.82,1
44,43,0.80,1
45,44,0.88,1
46,45,0.82,1
47,46,1.13,1
48,47,0.94,1
49,48,1.05,1
50,49,1.06,1
51,50,0.90,1
52,51,0.91,1
53,52,1.03,1
54,53,1.18,1
55,54,1.04,1
56,55,0.91,1
57,56,1.17,1
58,57,0.86,1
59,58,1.13,1
60,59,1.13,1
61,60,1.19,1
62,61,1.03,1
63,62,1.13,1
64,63,0.85,1
65,64,1.11,1
66,65,0.99,1
67,66,1.19,1
68,67,1.07,1
69,68,1.12,1
70,69,0.81,1
71,70,0.99,1
72,71,0.92,1
73,72,0.91,1
74,73,0.89,1
75,74,0.83,1
76,75,1.19,1
77,76,1.16,1
78,77,1.16,1
79,78,0.82,1
80,79,1.05,1
81,80,0.98,1
82,81,1.02,1
83,82,1.15,1
84,83,1.00,1
85,84,1.02,1
86,85,1.03,1
87,86,1.05,1
88,87,1.00,1
89,88,1.08,1
90,89,1.07,1
91,90,0.98,1
92,91,0.97,1
93,92,0.83,1
94,93,0.84,1
95,94,0.94,1
96,95,1.01,1
97,96,0.82,1
98,97,1.16,1
99,98,0.88,1
100,99,1.08,1
101,0,0.91,2
102,1,1.14,2
103,2,0.96,2
104,3,1.01,2
105,4,0.85,2
106,5,1.16,2
107,6,0.83,2
108,7,0.80,2
109,8,1.19,2
110,9,1.06,2
111,10,1.09,2
112,11,0.99,2
113,12,0.80,2
114,13,1.11,2
115,14,0.97,2
116,15,0.83,2
117,16,0.90,2
118,17,0.90,2
119,18,1.02,2
120,19,0.88,2
121,20,1.15,2
122,21,1.19,2
123,22,1.16,2
124,23,0.90,2
125,24,1.07,2
126,25,0.91,2
127,26,1.17,2
128,27,1.00,2
129,28,0.86,2
130,29,1.13,2
131,30,1.14,2
132,31,0.89,2
133,32,0.99,2
134,33,0.93,2
135,34,1.19,2
136,35,0.95,2
137,36,1.03,2
138,37,1.17,2
139,38,1.18,2
140,39,0.93,2
141,40,0.85,2
142,41,1.15,2
143,42,0.82,2
144,43,0.80,2
145,44,0.88,2
146,45,0.82,2
147,46,1.13,2
148,47,0.94,2
149,48,1.05,2
150,49,1.06,2
151,50,0.90,2
152,51,0.91,2
153,52,1.03,2
154,53,1.18,2
155,54,1.04,2
156,55,0.91,2
157,56,1.17,2
158,57,0.86,2
159,58,1.13,2
160,59,1.13,2
161,60,1.19,2
162,61,1.03,2
163,62,1.13,2
164,63,0.85,2
165,64,1.11,2
166,65,0.99,2
167,66,1.19,2
168,67,1.07,2
169,68,1.12,2
170,69,0.81,2
171,70,0.99,2
172,71,0.92,2
173,72,0.91,2
174,73,0.89,2
175,74,0.83,2
176,75,1.19,2
177,76,1.16,2
178,77,1.16,2
179,78,0.82,2
180,79,1.05,2
181,80,0.98,2
182,81,1.02,2
183,82,1.15,2
184,83,1.00,2
185,84,1.02,2
186,85,1.03,2
187,86,1.05,2
188,87,1.00,2
189,88,1.08,2
190,89,1.07,2
191,90,0.98,2
192,91,0.97,2
193,92,0.83,2
194,93,0.84,2
195,94,0.94,2
196,95,1.01,2
197,96,0.82,2
198,97,1.16,2
199,98,0.88,2
200,99,1.08,2
201,0,0.91,3
202,1,1.14,3
203,2,0.96,3
204,3,1.01,3
205,4,0.85,3
206,5,1.16,3
207,6,0.83,3
208,7,0.80,3
209,8,1.19,3
210,9,1.06,3
211,10,1.09,3
212,11,0.99,3
213,12,0.80,3
214,13,1.11,3
215,14,0.97,3
216,15,0.83,3
217,16,0.90,3
218,17,0.90,3
219,18,1.02,3
220,19,0.88,3
221,20,1.15,3
222,21,1.19,3
223,22,1.16,3
224,23,0.90,3
225,24,1.07,3
226,25,0.91,3
227,26,1.17,3
228,27,1.00,3
229,28,0.86,3
230,29,1.13,3
231,30,1.14,3
232,31,0.89,3
233,32,0.99,3
234,33,0.93,3
235,34,1.19,3
236,35,0.95,3
237,36,1.03,3
238,37,1.17,3
239,38,1.18,3
240,39,0.93,3
241,40,0.85,3
242,41,1.15,3
243,42,0.82,3
244,43,0.80,3
245,44,0.88,3
246,45,0.82,3
247,46,1.13,3
248,47,0.94,3
249,48,1.05,3
250,49,1.06,3
251,50,0.90,3
252,51,0.91,3
253,52,1.03,3
254,53,1.18,3
255,54,1.04,3
256,55,0.91,3
257,56,1.17,3
258,57,0.86,3
259,58,1.13,3
260,59,1.13,3
261,60,1.19,3
262,61,1.03,3
263,62,1.13,3
264,63,0.85,3
